first_name,last_name,picture,gender,active,microJurisId,2024_municipality,2024_senate_district,2024_representative_district,2024_politician_type,2024_party,2024_ballot,2024_commisions,2024_primary,2024_general,2024_display_name
Abdiel Enrique,Contreras Álvarez,/static/images/profile_images/Abdiel_Enrique_Contreras_Alvarez_4601.jpg,M,TRUE,,,,8,representante,PD,,,FALSE,TRUE,
Abiatar,Ramos Jiménez,/static/images/profile_images/Abiatar_Ramos_Jimenez_0484.jpg,M,TRUE,,,,15,representante,PD,,,FALSE,TRUE,
Abid,Quiñones Irizarry,/static/images/profile_images/Michael_Abid_Quiñones_Irizarry_7386.jpg,M,TRUE,,Lares,,,alcalde,PNP,,,FALSE,TRUE,
Abimael,Ayala Melecio,/static/images/profile_images/Abimael_Ayala_Melecio_9781.jpg,M,TRUE,,Ciales,,,alcalde,PD,,,FALSE,TRUE,
Abimael,Pascual Figueroa,/static/images/profile_images/Abimael_Pascual_Figueroa_4872.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Abner,Ortíz Inchausty,,M,TRUE,,,,,,,,,FALSE,FALSE,
Abniel Odil,Rodríguez Rodríguez,/static/images/profile_images/Abniel_Odil_Rodriguez_Rodriguez_2479.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Abraham,Cortés Vélez,,M,FALSE,,,,14,representante,PNP,,,FALSE,FALSE,
Ada,Álvarez Conde,/static/images/profile_images/Ada_Mercedes_Alvarez_Conde_8523.jpg,F,TRUE,,,ACUMULACION,,senador,PPD,,,FALSE,TRUE,
Ada,García Montes,/static/images/profile_images/Ada_Ivelisse_Garcia_Montes_8971.jpg,F,TRUE,845,Rincón,,,alcalde,PPD,,,FALSE,FALSE,
Ada,Ruíz Casiano,/static/images/profile_images/Ada_Nilda_Ruiz_Casiano_5554.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ada E.,Martínez Oliveras,/static/images/profile_images/Ada_E_Martinez_Oliveras_3481.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Adalberto,Lugo Boneta,/static/images/profile_images/Adalberto_Lugo_Boneta_8615.jpg,M,TRUE,,,,23,representante,PIP,,,FALSE,TRUE,Lugo Boneta
Adalberto,Maldonado Romero,,M,TRUE,,,,,,,,,FALSE,FALSE,
Adalberto,Villa Flores,/static/images/profile_images/Adalberto_Villa_Flores_6758.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Ada R.,Miranda Alvarado,,F,TRUE,,,,,,,,,FALSE,FALSE,
Ada (Taty),Clemente González,,F,TRUE,,,,,,,,,FALSE,FALSE,
Adriach,Bermúdez Ortíz,/static/images/profile_images/Adriach_Armando_Bermudez_Ortiz_4764.jpg,M,TRUE,,,,27,representante,PNP,,,FALSE,TRUE,
Adrián,Cruz Ros,/static/images/profile_images/Adrian_Cruz_Ros_4779.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Adrián,González Costa,/static/images/profile_images/Adrian_Gonzalez_Costa_9734.jpg,M,TRUE,,,1,,senador,PIP,,,FALSE,TRUE,
Adriana,Gutiérrez Colón,/static/images/profile_images/Adriana_Gutierrez_Colon_4285.jpg,F,TRUE,,,,4,representante,PIP,,,FALSE,TRUE,
Adrián Edgardo,Huertas López,,M,TRUE,,,,,,,,,FALSE,FALSE,
Adymar,Vélez Sánchez,/static/images/profile_images/Adymar_Velez_Sanchez_8205.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ahymet,Rivera Rodríguez,,M,FALSE,,Lajas,,,alcalde,PPD,,,FALSE,FALSE,
Aitza Loren,Martínez Martínez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Alana Trina,Feldman Soler,/static/images/profile_images/Alana_Trina_Feldman_Soler_5330.jpg,F,TRUE,,Adjuntas,,,alcalde,MVC,,,FALSE,TRUE,
Alba (Albita),Rivera Ramírez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Albert,Torres Berríos,/static/images/profile_images/Albert_Torres_Berrios_6939.jpg,M,TRUE,861,,6,,senador,PPD,,,FALSE,TRUE,
Alberto,Arroyo Andino,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto,Hernández Rojas,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto,Santiago Soto,/static/images/profile_images/Alberto_Santiago_Soto_8434.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto,Tiru Velázquez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto J.,Alvarado Ortíz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto J.,Giménez Cruz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alberto R.,Costa Berríos,/static/images/profile_images/Alberto_R_Costa_Berrios_7893.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alcides,Martínez Valentín,/static/images/profile_images/Alcides_Martinez_Valentin_5519.jpg,M,TRUE,,Lajas,,,alcalde,PPD,,,FALSE,TRUE,
Alejandrina,Burgos Hernández,,F,TRUE,,,,,,,,,FALSE,FALSE,
Alejandro,Figueroa Figueroa,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alejandro,Hernández Ramos,/static/images/profile_images/alejandro-hernandez-ramos.jpeg,M,TRUE,,Camuy,,,alcalde,PPD,,,FALSE,TRUE,
Alejandro,López Cruz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alejandro,Santiago Calderón,,M,FALSE,,,ACUMULACION,,senador,MVC,,,FALSE,FALSE,
Alejandro,Vera Cruz,/static/images/profile_images/Alejandro_Vera_Cruz_2816.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alex,García Quiñones,/static/images/profile_images/Alex_Garcia_6992.jpg,M,TRUE,,Yauco,,,alcalde,PPD,,,FALSE,TRUE,Alex (Chapu) García
Alex,López Rodríguez,/static/images/profile_images/Alex_Lopez_6173.jpg,M,TRUE,,Sabana Grande,,,alcalde,PNP,,,FALSE,TRUE,Alex López
Alex,Torres Luzunaris,/static/images/profile_images/Alex_Torres_Luzunaris_8777.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexander,Burgos Otero,/static/images/profile_images/Alexander_Burgos_Otero_7082.jpg,M,FALSE,,,,,,,,,FALSE,FALSE,
Alexander,Burgos Otero,/static/images/profile_images/Alexander_Burgos_Otero_7082.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexander,Hernández Ortíz,/static/images/profile_images/Alexander_Hernandez_Ortiz_0879.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexandra,De Jesús Rodríguez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Alexeis,Quiñones Scott,/static/images/profile_images/Alexeis_Quiñones_Scott_9083.jpg,M,TRUE,,Naguabo,,,alcalde,PIP,,,FALSE,TRUE,
Alex F.,Vargas Segarra,,M,FALSE,,,,19,representante,PPD,,,FALSE,FALSE,
Alexis,García Yulfo,/static/images/profile_images/Alexis_Garcia_Yulfo_4521.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexis,Montes García,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alexis,Valle Martínez,,M,FALSE,,,,13,representante,PNP,,,FALSE,FALSE,
Alexis Orlando,Silva Bonet,/static/images/profile_images/Alexis_Orlando_Silva_Bonet_6973.jpg,M,TRUE,,Rincón,,,alcalde,PIP,,,FALSE,TRUE,Alexis Silva Bonet
Alex José II,López Millan,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfonso,Vega,,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfonso André,Questell Ortíz,/static/images/profile_images/Alfonso_Andre_Questell_Ortiz_6169.jpg,M,TRUE,,,,2,representante,PIP,,,FALSE,FALSE,
Alfonso José,Fernández Debs,/static/images/profile_images/Alfonso_Jose_Fernandez_Debs_3708.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfredo,Irizarry Martell,/static/images/profile_images/Alfredo_Irizarry_Martell_2685.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Alfredo,Morales Nieves,,M,TRUE,,Mayagüez,,,alcalde,INDT,,,FALSE,FALSE,
Alfredo (Papo),Alejandro Carrión,/static/images/profile_images/Alfredo_Alejandro_Carrion_8161.jpg,M,TRUE,,Juncos,,,alcalde,PPD,,,FALSE,TRUE,
Amee,Rodríguez Ríos,,F,TRUE,,,,,,,,,FALSE,FALSE,
Américo,Guzmán Caraballo,/static/images/profile_images/Americo_Guzman_Caraballo_4540.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Amnerys Denise,Alvarado Pacheco,/static/images/profile_images/Amnerys_Denise_Alvarado_Pacheco_9457.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Anabel,Sánchez Ayala,/static/images/profile_images/Anabel_Sanchez_Ayala_0265.jpg,F,TRUE,,,,9,representante,PIP,,,FALSE,TRUE,Anabel Sánchez
Ana Delia,Monge Cruz,/static/images/profile_images/Ana_Delia_Monge_Cruz_2128.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana Elena,Figueroa Benítez,/static/images/profile_images/Ana_Elena_Figueroa_Benitez_9085.jpg,F,TRUE,,Fajardo,,,alcalde,PD,,,FALSE,TRUE,
Ana Esther,Ponce Rosa,/static/images/profile_images/ana-esther-ponce-rosa.jpeg,F,TRUE,,Humacao,,,alcalde,MVC,,,FALSE,TRUE,Ana (Annie) Ponce Rosa
Ana I.,Colón Rivera,/static/images/profile_images/Ana_I_Colon_Rivera_9661.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Ana Irma,Rivera Lassén,/static/images/profile_images/Ana_Irma_Rivera_Lassen.jpg,F,TRUE,857,,,,comisionado,MVC,,,FALSE,TRUE,
Ana Lydia,Rosado Ortíz,,F,TRUE,,,,,,,,,FALSE,FALSE,
Anamari,Ojeda Vilá,/static/images/profile_images/Anamari_Ojeda_Vila_6477.jpg,F,TRUE,,,,12,representante,PIP,,,FALSE,TRUE,
Ana Mercedes,Villalobos Robles,/static/images/profile_images/Ana_Mercedes_Villalobos_Robles_3429.jpg,F,TRUE,,Ciales,,,alcalde,PIP,,,FALSE,TRUE,
Ana P.,Rivera Concepción,/static/images/profile_images/Ana_P_Rivera_Concepcion_1032.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
