MUNICIPIO,PRECINTO,DIST. REP.,UNIDADES,DIST. SEN
San Juan,001,1,27,1
San Juan,002,2,28,1
San Juan,003,3,28,1
San Juan,004,4,28,1
San Juan,005,5,6,1
Guaynabo,006,5,17,1
Aguas Buenas,081,5,6,1
Guaynabo,007,6,17,2
Cataño,008,6,7,2
Bayamón,041,6,2,2
Bayamón,010,7,28,2
Bayamón,011,8,26,2
Bayamón,012,9,6,2
Toa Alta,013,9,14,2
Toa Baja,014,10,20,2
Cataño,009,10,2,2
Dorado,015,11,9,3
Vega Alta,016,11,10,3
Vega Baja,018,11,8,3
Vega Baja,019,12,13,3
Vega Alta,017,12,5,3
Morovis,020,12,14,3
Manatí,021,12,3,3
Manatí,022,13,13,3
Florida,024,13,7,3
Barceloneta,025,13,8,3
Arecibo,026,13,6,3
Arecibo,027,14,26,3
Hatillo,028,14,4,3
Hatillo,029,15,7,3
Camuy,030,15,16,3
Quebradillas,031,15,11,3
Isabela,032,16,22,4
San Sebastián,033,16,20,4
Aguadilla,085,16,1,4
Aguadilla,035,17,18,4
Moca,036,17,11,4
Moca,037,18,3,4
Aguada,038,18,17,4
Rincón,039,18,7,4
Añasco,040,18,14,4
Mayagüez,042,19,29,4
San Germán,043,19,10,4
San Germán,044,20,10,4
Hormigueros,045,20,8,4
Cabo Rojo,046,20,11,4
Las Marias,034,21,9,5
Lajas,047,21,14,5
Guánica,048,21,14,5
Sábana Grande,049,21,5,5
Maricao,050,21,6,5
Yauco,051,21,9,5
Ciales,023,22,11,5
Lares,053,22,13,5
Utuado,054,22,20,5
Adjuntas,055,22,3,5
Jayuya,056,22,4,5
Yauco,052,23,15,5
Guayanilla,058,23,14,5
Peñuelas,059,23,16,5
Ponce,060,23,3,5
Adjuntas,111,23,9,5
Ponce,061,24,24,5
Ponce,062,25,20,5
Jayuya,057,25,7,5
Juana Díaz,063,25,13,5
Villalba,065,26,17,6
Orocovis,066,26,17,6
Coamo,068,26,7,6
Barranquitas,070,26,11,6
Corozal,112,26,3,6
Juana Díaz,064,27,4,6
Santa Isabel,067,27,7,6
Aibonito,069,27,8,6
Coamo,075,27,11,6
Barranquitas,071,28,2,6
Corozal,072,28,12,6
Naranjito,073,28,12,6
Comerío,074,28,11,6
Cidra,076,29,18,6
Cayey,077,29,22,6
Salinas,078,30,14,6
Guayama,079,30,21,6
Arroyo,080,30,7,6
Santa Isabel,113,30,3,6
Caguas,082,31,18,7
Gurabo,084,31,9,7
Caguas,083,32,32,7
Juncos,088,33,15,7
Las Piedras,089,33,10,7
Gurabo,114,33,1,7
San Lorenzo,086,33,5,7
San Lorenzo,087,34,9,7
Patillas,091,34,17,7
Maunabo,092,34,9,7
Yabucoa,093,34,16,7
Las Piedras,090,35,5,7
Humacao,094,35,26,7
Naguabo,095,35,12,7
Vieques,096,36,5,8
Culebra,097,36,2,8
Ceiba,098,36,7,8
Fajardo,099,36,12,8
Luquillo,100,36,10,8
Río Grande,101,36,4,8
Río Grande,102,37,14,8
Loíza,103,37,9,8
Canóvanas,104,37,8,8
Canóvanas,105,38,7,8
Carolina,106,38,8,8
Trujillo Alto,109,38,9,8
Trujillo Alto,110,39,8,8
Carolina,107,39,10,8
Carolina,108,40,21,8
