Full Name,Precinct,Order
Gabriel López Arrieta,001,1
Ivonne Lozada Rosas,001,1
José Aponte Hernández,001,1
Leyda Cruz,001,1
Luis Javier (Javy) Hernández,001,1
Nitza S. Morán Trinidad,001,1
Adrián González Costa,001,1
Denis Márquez Lebrón,001,1
Joanne Marie Rodríguez Veve,001,1
José Antonio Vargas Vidot,001,1
Lisie Janet Burgos Muñíz,001,1
Luis Raúl Torres Cruz,001,1
María de Lourdes Santiago Negrón,001,1
Rosa Seguí Cordero,001,1
Ivonne Lozada Rosas,002,1
José (Pichy) Torres Zamora,002,1
José Luis Dalmau Santiago,002,1
Juan Oscar Morales Rodríguez,002,1
Ramón Torres,002,1
Roxanna I. Soto Aguilú (Abogada Motorizada),002,1
Adrián González Costa,002,1
Denis Márquez Lebrón,002,1
Joanne Marie Rodríguez Veve,002,1
José Antonio Vargas Vidot,002,1
Lisie Janet Burgos Muñíz,002,1
Luis Raúl Torres Cruz,002,1
María de Lourdes Santiago Negrón,002,1
Rosa Seguí Cordero,002,1
Gregorio Matías Rosario,003,1
Ivonne Lozada Rosas,003,1
José (Che) Pérez,003,1
José A. (Josian) Santiago,003,1
Juan Oscar Morales Rodríguez,003,1
Swanny Enit Vargas Laureano,003,1
Adrián González Costa,003,1
Denis Márquez Lebrón,003,1
Joanne Marie Rodríguez Veve,003,1
José Antonio Vargas Vidot,003,1
Lisie Janet Burgos Muñíz,003,1
Luis Raúl Torres Cruz,003,1
María de Lourdes Santiago Negrón,003,1
Rosa Seguí Cordero,003,1
Nitza S. Morán Trinidad,004,1
Keren Riquelme Cabrera,004,1
Tatiana Pérez Ramírez,004,1
Ada Álvarez Conde,004,1
Héctor Ferrer,004,1
Ivonne Lozada Rosas,004,1
Adrián González Costa,004,1
Denis Márquez Lebrón,004,1
Joanne Marie Rodríguez Veve,004,1
José Antonio Vargas Vidot,004,1
Lisie Janet Burgos Muñíz,004,1
Luis Raúl Torres Cruz,004,1
María de Lourdes Santiago Negrón,004,1
Rosa Seguí Cordero,004,1
Adrián González Costa,005,1
Ivonne Lozada Rosas,005,1
José Luis Dalmau Santiago,005,1
Juan Oscar Morales Rodríguez,005,1
Lourdes Ramos,005,1
Ramón Torres,005,1
Thomas Rivera Schatz,005,1
Denis Márquez Lebrón,005,1
Joanne Marie Rodríguez Veve,005,1
José Antonio Vargas Vidot,005,1
Lisie Janet Burgos Muñíz,005,1
Luis Raúl Torres Cruz,005,1
María de Lourdes Santiago Negrón,005,1
Rosa Seguí Cordero,005,1
Adrián González Costa,006,1
Gabriel López Arrieta,006,1
Ivonne Lozada Rosas,006,1
Juan Oscar Morales Rodríguez,006,1
Lourdes Ramos,006,1
Luis Javier (Javy) Hernández,006,1
Thomas Rivera Schatz,006,1
Denis Márquez Lebrón,006,1
Joanne Marie Rodríguez Veve,006,1
José Antonio Vargas Vidot,006,1
Lisie Janet Burgos Muñíz,006,1
Luis Raúl Torres Cruz,006,1
María de Lourdes Santiago Negrón,006,1
Rosa Seguí Cordero,006,1
Carmelo Ríos,007,1
