2024_display_name,party,municipality
Migda I. Cintrón González,PNP,Adjuntas
Noralyz  Lamboy López,PNP,Adjuntas
Oscar L. Orengo Torres,PNP,Adjuntas
Roberto Pagán Pagán,PNP,Adjuntas
José Rolando Rivera Pérez,PNP,Adjuntas
Lisbeth M. Mirabal Miró,PNP,Adjuntas
Aileen Alicea Rivera,PNP,Adjuntas
Wilmer Ortiz Santiago,PNP,Adjuntas
Kyle José Hernández Rivera,PNP,Adjuntas
Rafael Antonio Munet Maldonado,PPD,Adjuntas
José A. González Vázquez,PPD,Adjuntas
Luisa Linnette Rivera Albino,PPD,Adjuntas
Elvis Omar Torres Alvarado,PPD,Adjuntas
Verónica Santiago Rodríguez,PPD,Adjuntas
Elvin  Boneta Alcover,PPD,Adjuntas
Áxel Medina Caraballo,PPD,Adjuntas
Evelyn Feliciano Marcucci,PPD,Adjuntas
Guadalupe Rivera Oquendo,PPD,Adjuntas
Carlos Antonio Rosado Plaza,MVC,Adjuntas
Sasha Diana Maldonado Nieves,MVC,Adjuntas
Idarys Torres García,MVC,Adjuntas
Enid González Alemán,MVC,Adjuntas
Norberto Román Román,MVC,Adjuntas
Rubén Eduardo Torres González,PIP,Adjuntas
Hernán Massol Santana,PIP,Adjuntas
Jeniffer Arroyo López,PIP,Adjuntas
Ángel Alexander Alvarado Malavé,PIP,Adjuntas
Juan Francisco Fontánez Hernández,PIP,Adjuntas
Elizabeth Massol Santana,PIP,Adjuntas
Verónica Santiago Massol,PIP,Adjuntas
Jorge A. Aponte Carattini,PIP,Adjuntas
Alexander Camacho Cedeño,PIP,Adjuntas
Héctor David (Buda) Ruiz Ramírez,PNP,Aguada
Melanie Cristal Román,PNP,Aguada
Alberto Carlos Barreto Ríos,PNP,Aguada
Israel Pérez Rosa,PNP,Aguada
Carlos I. Román González,PNP,Aguada
Enrique Chaparro Ramos,PNP,Aguada
Aileen Cruz Hernández,PNP,Aguada
Eliezer Plaza Rodríguez,PNP,Aguada
Elvyn Noel Ruiz Muñoz,PNP,Aguada
Pablo Hernández Agudo,PNP,Aguada
Edna Torres Crespo,PNP,Aguada
Manuel E. Acevedo Rivera,PPD,Aguada
Héctor Manuel Aponte Hernández,PPD,Aguada
César Mercado Cuevas,PPD,Aguada
Carmen Julia Matías Concepción,PPD,Aguada
Miguel A. Ruiz Acevedo,PPD,Aguada
Darío Medina Méndez,PPD,Aguada
Clarita Feliciano Avilés,PPD,Aguada
Carlos Román Villanueva,PPD,Aguada
Nilsa Cruz Varela,PPD,Aguada
Elsa Iris Vega Chaparro,PPD,Aguada
Francisco S. Bonilla González,PPD,Aguada
Carlos Galloza Ramírez,PD,Aguada
Manuel Ramírez Torres,PD,Aguada
Carlos L. García Varela,MVC,Aguada
Michael Serrano Rivera,PIP,Aguada
Carmen María Echevarría Soto,PIP,Aguada
Alberto Vázquez Santiago,PIP,Aguada
José Ramos García,PIP,Aguada
Carlos F. Silva Román,PIP,Aguada
Roberto Cotto Cardona,PIP,Aguada
Héctor N. Gallozza Serrano,PIP,Aguada
Sonia Muñoz Lorenzo,PIP,Aguada
Jorge Luis Agudo Santoni,PIP,Aguada
Evaristo Quiñones Ruiz,PIP,Aguada
Carmen E. Quiñones Ruiz,PIP,Aguada
Mery Mercy Ramos Arce,PNP,Aguadilla
José Taveras Domenech (Chelo),PNP,Aguadilla
Ángel Manuel Montero Pellot,PNP,Aguadilla
